team,Played,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Average Raid Points_points,Average Tackle Points_points,Total Points Conceded_points,Super Raid_points,DOD Raid Points_points,All-outs Inflicted_points,All-outs Conceded_points,Avg Points Scored_points,season
   Dabang Delhi K.C.  ,20.0,361.0,181.0,8.0,187.0,742.0,437.0,21.85,9.35,659.0,8.0,50.0,34.0,18.0,31.2,7
   Gujarat Fortunegiants  ,20.0,265.0,187.0,17.0,203.0,605.0,320.0,16.0,10.15,591.0,5.0,59.0,21.0,22.0,26.15,7
   Haryana Steelers  ,20.0,315.0,184.0,14.0,198.0,686.0,408.0,20.4,9.9,685.0,14.0,71.0,28.0,25.0,30.15,7
   Jaipur Pink Panthers  ,20.0,261.0,189.0,32.0,219.0,626.0,337.0,16.85,10.95,644.0,7.0,73.0,19.0,23.0,27.8,7
   Patna Pirates  ,20.0,303.0,174.0,24.0,198.0,666.0,383.0,19.15,9.9,671.0,13.0,73.0,28.0,24.0,29.05,7
   Puneri Paltan  ,20.0,290.0,207.0,25.0,232.0,652.0,358.0,17.9,11.6,723.0,6.0,60.0,18.0,33.0,29.5,7
   Tamil Thalaivas  ,20.0,275.0,160.0,13.0,171.0,578.0,344.0,17.2,8.55,695.0,4.0,55.0,14.0,30.0,25.75,7
   Telugu Titans  ,18.0,273.0,162.0,21.0,182.0,564.0,332.0,18.44,10.11,603.0,9.0,44.0,13.0,22.0,28.55,7
   U Mumba  ,20.0,273.0,174.0,19.0,190.0,628.0,342.0,17.1,9.5,587.0,7.0,69.0,27.0,21.0,26.6,7
   U.P. Yoddha  ,18.0,223.0,177.0,16.0,192.0,551.0,289.0,16.06,10.67,570.0,5.0,71.0,21.0,22.0,26.72,7
