player,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Avg Raid Points_points,Avg Tackle Points_points,Super 10s_points,Super Raids_points,DOD Raid Points_points,High 5s_points,season,Played
Nilesh Salunke,40.0,2.0,,2.0,55.0,53.0,3.12,0.12,1.0,1.0,9.0,,7,17.0
Nitesh Kumar,,44.0,6.0,50.0,51.0,1.0,,2.78,,,,3.0,7,18.0
Nitin Rawal,23.0,15.0,4.0,19.0,51.0,32.0,2.46,1.27,,1.0,8.0,1.0,7,15.0
Nitin Tomar,49.0,5.0,1.0,6.0,60.0,54.0,4.5,0.46,1.0,,,,7,13.0
Palle Mallikarjun,2.0,,,,2.0,2.0,0.67,,,,,,7,3.0
Pankaj,,21.0,,21.0,21.0,,,2.33,,,,1.0,7,9.0
Pankaj Mohite,84.0,3.0,,3.0,113.0,110.0,6.88,0.19,3.0,4.0,24.0,,7,16.0
Pardeep Narwal,196.0,,,,251.0,251.0,12.55,,13.0,12.0,39.0,,7,20.0
Parveen,,3.0,1.0,4.0,4.0,,,0.67,,,,,7,6.0
Parvesh Bhainswal,,46.0,2.0,48.0,48.0,,,2.4,,,,4.0,7,20.0
Pavan T,,10.0,2.0,12.0,12.0,,,0.8,,,,,7,15.0
Pawan Kumar,19.0,,,,25.0,25.0,4.17,,1.0,,5.0,,7,6.0
Pawan Sehrawat,222.0,13.0,1.0,14.0,295.0,281.0,13.85,0.7,14.0,7.0,14.0,,7,20.0
Ponparthiban Subramanian,,3.0,,3.0,3.0,,,0.43,,,,,7,7.0
Prashant Kumar Rai,60.0,,,,75.0,75.0,5.29,0.0,2.0,,8.0,,7,14.0
Purna Singh,3.0,,,,4.0,4.0,0.67,,,,1.0,,7,7.0
R. Sriram,,,,,,,0.0,,,,,,7,1.0
Rahul Chaudhari,97.0,8.0,,8.0,126.0,118.0,5.9,0.4,4.0,,24.0,,7,20.0
Rajaguru Subramanian,,2.0,,2.0,2.0,,,0.4,,,,,7,5.0
Rajnish,31.0,2.0,,2.0,45.0,43.0,4.3,0.2,2.0,1.0,10.0,,7,10.0
Rakesh Gowda,20.0,6.0,3.0,9.0,31.0,22.0,2.44,1.0,,,2.0,,7,9.0
Rakesh Narwal,3.0,,,,6.0,6.0,3.0,,,,1.0,,7,2.0
Ran Singh,5.0,29.0,1.0,30.0,39.0,9.0,0.9,1.58,,,1.0,,7,19.0
Ravi Kumar,,36.0,5.0,41.0,41.0,,0.0,2.28,,,,3.0,7,18.0
Ravinder,,2.0,1.0,3.0,3.0,,,0.6,,,,,7,5.0
Ravinder Pahal,,57.0,,57.0,57.0,,,2.85,,,,3.0,7,20.0
Ravindra Ramesh Kumavat,1.0,1.0,,1.0,2.0,1.0,0.33,,,,,,7,3.0
Rinku Narwal,,51.0,2.0,53.0,53.0,,,2.65,,,,3.0,7,20.0
Rishank Devadiga,35.0,1.0,,1.0,47.0,46.0,3.29,0.07,,2.0,6.0,,7,14.0
Rohit Baliyan,36.0,3.0,1.0,4.0,53.0,49.0,2.88,0.24,,2.0,7.0,,7,17.0
Rohit Gulia,95.0,8.0,1.0,9.0,127.0,118.0,5.9,0.45,4.0,1.0,11.0,,7,20.0
Rohit Kumar,69.0,4.0,,4.0,92.0,88.0,5.18,0.24,3.0,2.0,11.0,,7,17.0
Ruturaj Koravi,,15.0,,15.0,15.0,,,1.0,,,,,7,15.0
Sachin,65.0,1.0,,1.0,85.0,84.0,5.25,0.06,2.0,1.0,23.0,,7,16.0
Sachin Kumar,,3.0,1.0,4.0,4.0,,0.0,0.33,,,,,7,12.0
Sachin Narwal,7.0,1.0,,1.0,12.0,11.0,1.0,0.08,,1.0,3.0,,7,12.0
Saeid Ghaffari,,8.0,,8.0,8.0,,,0.89,,,,,7,9.0
Sagar,,12.0,1.0,13.0,13.0,,,1.18,,,,,7,11.0
Sagar Krishna,,11.0,3.0,14.0,14.0,,,1.17,,,,1.0,7,12.0
Sandeep,,2.0,,2.0,2.0,,,2.0,,,,,7,1.0
Sandeep Dhull,,60.0,7.0,67.0,68.0,1.0,,3.35,,,,5.0,7,20.0
Sandeep Narwal,14.0,38.0,5.0,43.0,61.0,18.0,1.0,2.15,,,2.0,1.0,7,20.0
Sanket Sawant,,7.0,,7.0,7.0,,,1.4,,,,,7,5.0
Santhapanaselvam,,13.0,1.0,14.0,14.0,,,1.75,,,,,7,8.0
Satywan,,1.0,,1.0,1.0,,,,,,,,7,1.0
Saurabh Nandal,1.0,44.0,5.0,49.0,50.0,1.0,,2.58,,,,5.0,7,19.0
Selvamani K,7.0,2.0,,2.0,13.0,11.0,1.83,,,1.0,1.0,,7,7.0
Shabeer Bappu,17.0,6.0,1.0,7.0,29.0,22.0,1.57,0.5,,,5.0,,7,14.0
Shrikant Jadhav,83.0,3.0,,3.0,117.0,114.0,6.33,0.17,3.0,2.0,26.0,,7,18.0
Shubham Shinde,1.0,15.0,2.0,17.0,18.0,1.0,0.17,1.31,,,,,7,13.0
Siddharth Desai,143.0,3.0,,3.0,177.0,174.0,9.67,0.17,7.0,6.0,22.0,,7,18.0
Sombir,,1.0,,1.0,1.0,,,,,,,,7,8.0
Sonu,42.0,3.0,1.0,4.0,56.0,52.0,3.47,,1.0,3.0,9.0,,7,15.0
Sukesh Hegde,27.0,1.0,,1.0,41.0,40.0,3.08,,,2.0,11.0,,7,13.0
Sumit,1.0,60.0,1.0,61.0,63.0,2.0,0.5,3.39,,,,5.0,7,18.0
Sumit Malik,,14.0,1.0,15.0,15.0,,,1.07,,,,,7,14.0
Sumit Singh,27.0,3.0,1.0,4.0,40.0,36.0,2.25,0.25,,,8.0,,7,16.0
Sunil,,46.0,1.0,47.0,47.0,,,2.61,,,,3.0,7,18.0
Sunil Kumar,1.0,40.0,6.0,46.0,47.0,1.0,0.14,2.56,,,1.0,4.0,7,18.0
